Binance,Kucoin,Bought_ID
ADAUSDT,ADA-USDT,
ALGOUSDT,ALGO-USDT,
ALICEUSDT,ALICE-USDT,
AVAXUSDT,AVAX-USDT,
AXSUSDT,AXS-USDT,
CAKEUSDT,CAKE-USDT,
CRVUSDT,CRV-USDT,
DOGEUSDT,DOGE-USDT,
DOTUSDT,DOT-USDT,
ENJUSDT,ENJ-USDT,
EOSUSDT,EOS-USDT,
FTMUSDT,FTM-USDT,
GALAUSDT,GALAX-USDT,
HBARUSDT,HBAR-USDT,
JASMYUSDT,JASMY-USDT,
LTCUSDT,LTC-USDT,
LUNAUSDT,LUNA-USDT,
MANAUSDT,MANA-USDT,
MATICUSDT,MATIC-USDT,
NEARUSDT,NEAR-USDT,
ONEUSDT,ONE-USDT,
QIUSDT,QI-USDT,
SANDUSDT,SAND-USDT,
SHIBUSDT,SHIB-USDT,
SOLUSDT,SOL-USDT,
STORJUSDT,STORJ-USDT,
SUSHIUSDT,SUSHI-USDT,
THETAUSDT,THETA-USDT,
TLMUSDT,TLM-USDT,
UNIUSDT,UNI-USDT,
VETUSDT,VET-USDT,
XRPUSDT,XRP-USDT,
